t,p,v,a,theta
24.4395154483492,0.095455374027451,-0.070166293710299,0.0609821682218126,580.058251044189
24.4422328398361,0.0952647991337763,-0.0701649883467451,0.00815091947068615,580.112759458401
24.4454009031083,0.0950424967388985,-0.0702188603056563,0.00208591036322435,580.17629204205
24.4492409104246,0.0947728296115627,-0.0703237873363808,0.0345678496542364,580.25328846596
24.4531489970893,0.0944981617435523,-0.0704958674453027,0.133144098303329,580.331631289159
24.4563814486125,0.0942706611341692,-0.0705372101318511,0.113899727312824,580.39645886583
24.4590944993373,0.0940794930866982,-0.0704999482601421,0.0259327943878547,580.450890180149
24.4619613099156,0.0938774093893791,-0.0705285591188632,0.001076622811912,580.508386927094
24.4654966726922,0.0936280287865252,-0.0706044775868167,0.0112313939385186,580.579280539825
24.4695175744966,0.0933441768116055,-0.0707509301865683,0.0831187274935081,580.659893398596
24.4724038868521,0.0931401287613228,-0.070749227317278,0.0280774204145215,580.71778978332
24.4752901992076,0.0929359566518193,-0.0707772533400118,0.00289250874242374,580.775677678502
24.4787947465199,0.0926878853101651,-0.0708509526284325,0.0121552390391406,580.845953595564
24.4827625379436,0.0924068053211417,-0.0709888278701336,0.0773041849813891,580.925503381243
24.4863735611525,0.0921507585739967,-0.0711242790922067,0.146788643895299,580.997897513442
24.4892983490194,0.0919430560380801,-0.0710936756882074,0.0629434973475895,581.056573550781
24.4920157489739,0.0917499658256545,-0.0710894251284293,0.00934570459001158,581.111082153549
24.49518381623,0.0915247396547983,-0.0711406641537377,0.00319272749167836,581.174614819258
24.499023825864,0.0912515401860856,-0.0712429667907233,0.0361416366377977,581.251611277888
24.5029319191106,0.0909732901790426,-0.0714133046930755,0.136129374820629,581.32995419702
24.5061643812976,0.0907428342121338,-0.0714517558532403,0.116605935783877,581.394781993908
24.5088774404319,0.0905491912188505,-0.0714110393428629,0.0273798656926581,581.44921350925
24.5117442538788,0.0903445001902906,-0.0714369707291024,0.00216861443065723,581.506710322999
24.5152796174589,0.0900919141718799,-0.0715101610181266,0.0124672249832904,581.577603948068
24.5193005253126,0.0898044293868134,-0.0716543555810066,0.0853703359059533,581.658216901049
